patent_id	inventor_id
5274278	5274278-3
5274281	5274281-1
5274337	4316106-2
5274337	5111067-2
5274678	5274678-1
5274678	5274678-2
5274826	8209480-2
5274826	5175853-7
5274826	6075379-3
5274834	8209480-2
5274834	6075379-3
5276650	4930879-3
5276690	4903270-3
5276690	5276690-2
5276847	4366536-1
5276858	4901235-2
5276858	5239639-3
5276858	5276858-1
5276858	5239639-1
5276858	5276858-5
5276888	5175853-1
5276888	6134636-2
5276888	5175853-3
5276888	8209480-2
5276888	6188392-1
5276888	5359723-2
5276888	5175853-7
5276888	6075379-3
5278105	5278105-1
5278105	5278105-2
5278467	5278467-1
5278902	4864511-3
5278964	6134636-2
5278964	6401195-1
5280198	5280198-1
5280447	5243575-3
5280447	5262990-4
5280447	5267196-1
5280571	5621674-1
5280571	5280571-1
5280605	4316106-2
5280605	5111067-2
5281863	8166215-4
5281863	5281863-2
5282140	5282140-1
5282140	5282140-2
5282140	5282140-3
5282176	4819081-3
5282176	5386155-2
5282272	4785396-1
5282272	5191649-1
5282272	5694555-5
5282272	5282272-1
5282272	5282272-2
5282272	5490247-2
5283645	5245436-1
5283874	7062636-2
5283904	4315310-2
5283904	4438494-5
5283904	5283904-2
5285017	5285017-1
5285402	5621674-1
5286678	5286678-1
5287401	5287401-1
5289026	5196361-2
5289035	5231053-1
5289035	5231053-2
5289035	5231053-3
5289035	5231053-4
5289035	5231053-5
5289054	5289054-1
5289337	5483099-4
5289337	5838542-3
5289412	5243575-1
5289412	5243575-2
5289458	5289458-1
5290735	7132313-2
5291071	4819081-3
5291071	5386155-2
5291604	8209480-2
5291604	6075379-3
5293230	4785349-3
5293592	4737926-1
5293592	5226127-2
5293603	4570220-4
5293603	4785396-4
5293603	5228134-2
5295113	5249158-1
5295113	5295113-2
5296094	5296094-1
5296094	5296094-2
5298807	5892377-2
5298807	5298807-1
5300379	5300379-1
5300379	5300379-2
5300379	5300379-3
5300379	7368020-1
5300461	4654958-3
5300829	4316106-2
5300829	5113096-3
5301097	6891488-1
5301139	5301139-1
5301141	5301141-1
5301150	4963825-1
5301150	5301150-2
5301151	4975883-3
5301151	5249158-1
5301161	5053990-1
5301161	5262990-5
5301161	5301161-1
5301272	5243447-2
5301298	7051227-1
5301298	5301298-2
5301298	5301298-3
5301298	5301298-4
5301299	4785396-4
5301299	6148356-4
5301342	5301342-1
5302477	7368020-1
5302477	5302477-1
5302477	5302477-2
5302865	4912345-1
5302865	5302865-1
5303002	5303002-1
5304869	5049765-2
5304872	5304872-1
5304872	5304872-2
5304872	5304872-3
5305103	4785349-3
5306667	3921283-1
5306963	5159672-3
5306963	5243575-1
5306963	5306963-2
5306964	6874083-4
5307012	4771018-1
5307012	5307012-2
5307240	6890798-1
5307301	5235533-1
5307320	5307320-1
5307320	5307320-2
5307381	4442529-2
5309012	4963825-1
5309012	7050507-2
5309046	4912345-1
5310039	5310039-1
5310039	5310039-2
5310039	5310039-3
5310039	5310039-4
5311462	5249158-1
5313586	5313586-1
5313605	5455924-2
